HWP,Temperature,Path
63.58,4.73,raw_data/26.02.23/22h39m31s_xHWP many points_3.10-4.72_Tem=3.10_HWP=63.58_Del=163.72.txt
55.83,4.73,raw_data/26.02.23/23h03m53s_xHWP many points_3.10-4.74_Tem=3.10_HWP=55.83_Del=163.72.txt
52.48,4.73,raw_data/26.02.23/23h28m15s_xHWP many points_3.10-4.73_Tem=3.10_HWP=52.48_Del=163.72.txt
49.79,4.73,raw_data/26.02.23/23h52m35s_xHWP many points_3.12-4.72_Tem=3.10_HWP=49.79_Del=163.72.txt
47.42,4.73,raw_data/27.02.23/00h17m14s_xHWP many points_3.11-4.74_Tem=3.10_HWP=47.42_Del=163.72.txt
45.23,4.73,raw_data/27.02.23/00h41m40s_xHWP many points_3.11-4.74_Tem=3.10_HWP=45.23_Del=163.72.txt
43.13,4.73,raw_data/27.02.23/01h06m02s_xHWP many points_3.10-4.73_Tem=3.10_HWP=43.13_Del=163.72.txt
41.08,4.73,raw_data/27.02.23/01h30m36s_xHWP many points_3.11-4.73_Tem=3.10_HWP=41.08_Del=163.72.txt
39.03,4.73,raw_data/27.02.23/01h55m05s_xHWP many points_3.11-4.73_Tem=3.10_HWP=39.03_Del=163.72.txt
36.93,4.73,raw_data/27.02.23/02h19m50s_xHWP many points_3.13-4.74_Tem=3.10_HWP=36.93_Del=163.72.txt
34.74,4.73,raw_data/27.02.23/02h44m31s_xHWP many points_3.13-4.73_Tem=3.10_HWP=34.74_Del=163.72.txt
32.37,4.73,raw_data/27.02.23/03h09m03s_xHWP many points_3.10-4.74_Tem=3.10_HWP=32.37_Del=163.72.txt
29.68,4.73,raw_data/27.02.23/03h33m33s_xHWP many points_3.10-4.73_Tem=3.10_HWP=29.68_Del=163.72.txt
26.33,4.73,raw_data/27.02.23/03h58m12s_xHWP many points_3.10-4.74_Tem=3.10_HWP=26.33_Del=163.72.txt
18.58,4.73,raw_data/27.02.23/04h23m13s_xHWP many points_3.13-4.73_Tem=3.10_HWP=18.58_Del=163.72.txt
63.58,101.08,raw_data/27.02.23/05h04m58s_xHWP many points_100.00-101.08_Tem=100.00_HWP=63.58_Del=163.72.txt
55.83,101.08,raw_data/27.02.23/05h30m00s_xHWP many points_100.00-101.08_Tem=100.00_HWP=55.83_Del=163.72.txt
52.48,101.08,raw_data/27.02.23/05h54m47s_xHWP many points_100.00-101.08_Tem=100.00_HWP=52.48_Del=163.72.txt
49.79,101.08,raw_data/27.02.23/06h19m56s_xHWP many points_100.00-101.07_Tem=100.00_HWP=49.79_Del=163.72.txt
47.42,101.08,raw_data/27.02.23/06h44m56s_xHWP many points_100.00-101.07_Tem=100.00_HWP=47.42_Del=163.72.txt
45.23,101.08,raw_data/27.02.23/07h09m53s_xHWP many points_100.00-101.07_Tem=100.00_HWP=45.23_Del=163.72.txt
43.13,101.08,raw_data/27.02.23/07h34m18s_xHWP many points_100.00-101.07_Tem=100.00_HWP=43.13_Del=163.72.txt
41.08,101.08,raw_data/27.02.23/07h58m42s_xHWP many points_100.00-101.07_Tem=100.00_HWP=41.08_Del=163.72.txt
39.03,101.08,raw_data/27.02.23/08h23m04s_xHWP many points_100.00-101.06_Tem=100.00_HWP=39.03_Del=163.72.txt
36.93,101.08,raw_data/27.02.23/08h47m36s_xHWP many points_100.00-101.06_Tem=100.00_HWP=36.93_Del=163.72.txt
34.74,101.08,raw_data/27.02.23/09h12m03s_xHWP many points_100.00-101.06_Tem=100.00_HWP=34.74_Del=163.72.txt
32.37,101.08,raw_data/27.02.23/09h36m57s_xHWP many points_100.00-101.06_Tem=100.00_HWP=32.37_Del=163.72.txt
29.68,101.08,raw_data/27.02.23/10h01m18s_xHWP many points_100.00-101.08_Tem=100.00_HWP=29.68_Del=163.72.txt
26.33,101.08,raw_data/27.02.23/10h26m04s_xHWP many points_100.00-101.08_Tem=100.00_HWP=26.33_Del=163.72.txt
18.58,101.08,raw_data/27.02.23/10h50m28s_xHWP many points_100.00-101.08_Tem=100.00_HWP=18.58_Del=163.72.txt